prov,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,20085.4,33210.02,71171.67,78906.03,87041.62,93849.39,97883.33,115050,118793.86,123000,151661.15,176000,190000,191000
天津市,55643.87,70614.09,185900.43,209200,216832.07,224521.4,230900,235150,236699.81,240000,244700,255000,265000,227000
河北省,602365.82,789443.81,1108370.93,1189902.56,1284697.46,1341201.15,1412128.73,1233780,1253463.29,1345000,1492479.99,1545000,1495000,1428000
山西省,573077.61,686444.28,1120643.18,1208225.28,1255426.92,1301755,1399051.29,1249201,1268427.69,1308000,1386724.44,1478000,1516000,1415000
内蒙古自治区,546254.73,625742.23,1230945.68,1312436.37,1358691.74,1384928.33,1409404.33,1394100,1398803.38,1431000,1455800.49,1557000,1456000,1179000
辽宁省,389709.74,507695.2,968766.93,994597.4,1027044.07,1058712.3,1126169.82,1022207,1051419.47,1131000,1233842.85,1259000,1197000,831000
吉林省,166108.72,188065.71,362928,372256,381452.65,403482.25,413190.52,356310,363005.24,378000,398977.41,409000,383000,285000
黑龙江省,293659.33,338220.91,456331.21,472248.4,489093.76,514299.73,521896.19,490164,490383.48,506000,515368.72,518000,508000,373000
上海市,18502.23,74245.77,170843.52,188149.16,215848.15,228218.29,240101.5,358100,378907.51,446000,497818.19,508000,513000,474000
江苏省,410690.43,570115.7,835058.81,904740.62,941679.05,991966.79,1053799.74,1050488,1074154.54,1130000,1218055.77,1304000,1373000,1240000
浙江省,190468.12,268384.63,537826.34,574012.17,593363.79,625766.42,662048.27,678342,701329.51,741000,797026.56,859000,860000,814000
安徽省,235419.41,281566.51,480072.79,492965.67,501349.13,519589.35,529473.84,532076,538423.97,556000,571701.04,584000,571000,490000
福建省,133890.72,189257.18,337881.74,355957.2,361003.48,371251.34,389174.59,409051,419656.35,429000,445657.8,469000,461000,326000
江西省,215464.1,276888.22,528064.92,534414.92,557703.6,567687.21,584061.27,557072,564221.98,583000,620989.33,634000,613000,519000
山东省,739121.42,1134524.43,1525670.1,1590236.96,1644967.09,1748806.99,1827397.2,1537818,1590301.46,1692000,1822149.93,1962000,2002000,1821000
河南省,286316.67,413622.67,1144252.03,1198182.07,1253983.82,1275909.33,1370504.08,1338701,1355000.51,1452000,1563900.41,1624000,1624000,1256000
湖北省,220059.71,285602.99,551358,583759.24,599352.87,622367.29,665640.29,632582,643761.33,670000,707574.78,760000,718000,692000
湖南省,214584.89,346766.41,595473.42,623688.6,641321.04,644959.47,685529.58,801311,811501.55,840000,904289.1,934000,919000,873000
广东省,276773.81,353692.57,678341.35,730146.58,761896.06,799223.24,847727.6,1050508,1070488.15,1136000,1203019.16,1267000,1294000,1148000
广西壮族自治区,177318.18,201063.67,421198.7,466588.74,471986.8,504123.33,521022.51,903826,890494.78,925000,973844.04,994000,1024000,944000
海南省,14271.49,16957.63,32300.06,32563.91,32414.15,34136.86,32572.39,28810,22031.2,22000,25599.7,24000,22000,23000
重庆市,253381.46,288337.75,495801.96,526944.28,547686.06,564776.63,586929.07,719404,746091.62,782000,826200.13,860000,837000,795000
四川省,389142.9,488269.45,717584.45,796401.53,816706.01,864440.44,902006.3,1130952,1135299.13,1148000,1178749.69,1281000,1300000,1265000
贵州省,687465.46,647063.92,852964.5,925787.1,986423.12,1041086.62,1104284,1148830,1175494.19,1236000,1375072.97,1465000,1358000,1315000
云南省,384449.37,526208.98,583739.22,636683.23,663091.24,672215.92,691225.79,500702,499306.78,502000,533700,551000,522000,478000
西藏自治区,3462.81,5411.41,5373.02,4249.87,4191.66,4184.66,4175.73,3857,1660,2000,1890.8,2000,2000,1000
陕西省,279359.33,318012.39,735017.21,780954.38,806152.32,843755.44,916838.68,778649,804407.63,889000,927208.82,981000,922000,818000
甘肃省,258811.14,271975.89,570621.39,575648.72,561980.82,572489.4,623902.18,551785,500305.71,502000,523249.99,546000,563000,484000
青海省,92416.66,113692.7,150766,154276,156694,153853.33,156602.1,143431,135698.26,135000,133922.77,130000,124000,73000
宁夏回族自治区,207520.16,236859.01,357596.19,377055.54,389712.3,406633.25,410385.49,310752,314245.07,348000,369775.67,383000,342000,293000
新疆维吾尔自治区,418180.06,480686.93,778330.32,852981.33,829431.08,796128.41,763055.29,588487,589900.05,585000,579936.79,549000,519000,481000
